Drug_ID	Drug	Y
662288	"O1C(CCC1)Cn1c2nc3c(nc2c(c1N)C(=O)NC(CC)C)cccc3"	0
684140	"O(c1cc2CC(n3nnnc3c2cc1OC)(C)C)C"	0
2941982	"S(c1nc2CCCC(=O)c2cc1C#N)CC(OC)=O"	0
2999580	"S1(=O)(=O)CC(N(CC)C(=O)COC(=O)c2c(n(c(c2)C)c2ccc(F)cc2)C)CC1"	0
604350	"O1c2c(C(c3ccncc3)C(=C1N)C#N)ccc(O)c2"	0
2944643	"Clc1c(N2CCN(CC2)C(=O)CCC)ccc(NC(=O)c2oc3c(c2)cccc3)c1"	0
3239017	"S(=O)(=O)(N1CCC(CC1)C(=O)Nc1c(OCC)ccc(OCC)c1)c1c2nonc2ccc1"	0
2612965	"S(CC(=O)N1CCCCC1)CC(OCC(=O)c1c2c([nH]c1)cccc2)=O"	0
2161565	"O(C(=O)c1ccc(n2nc(cc2C)C)cc1)CC(=O)NCc1occc1"	0
2850847	"ON1C2(N=C(C1(C)C)C)CCCc1[n+](onc21)[O-]"	0
1954059	"S(=O)(=O)(N1CCN(CC1)c1c(NC(=O)c2cc(OC)c(OC)c(OC)c2)cccc1)C"	0
3237435	"S(c1[nH]c2CCCc2c(=O)n1)C(CC)C(=O)Nc1cc(OC)ccc1"	0
666053	"Clc1ccc(SCc2[nH]c(N3CCCCC3)nc(=O)c2)cc1"	0
5308914	"O=C(N1CCCCC1)C1CCN(CC1)c1n2nc(c(c2nc(c1)C)c1cc(OC)c(OC)cc1)C"	0
1078563	"Clc1ccc(OCC(=O)Nc2c(N3CCOCC3)cccc2)cc1"	0
5308277	"o1nc(CCCC(=O)NCc2ncccc2)cc1c1ccc(OC)cc1"	0
654036	"S(c1n(CC(C)C)c(nn1)c1c(occ1)C)CC(=O)Nc1sc(nn1)C"	0
649245	"Clc1c(n2ncc3c2ncn(Cc2cccnc2)c3=O)cccc1"	0
3235828	"o1nc(cc1c1c(OC)ccc(OC)c1)C(=O)NCc1occc1"	0
2225446	"Clc1sc(C(=O)N2CCOCC2)cc1"	0
794732	"O=C1CC(CC(=O)C1c1c2c(n(c1)C(=O)C)cccc2)(C)C"	0
657900	"Clc1c(Cn2c(=O)n(C3OCCC3)cc(F)c2=O)cccc1"	0
967912	"S(=O)(=O)(Nc1ccc(cc1)C(OC)=O)c1c(OC)ccc(c1)C"	0
2898827	"Clc1c(cc(N(S(=O)(=O)C)CC(=O)N2CCN(CC2)C(OCC)=O)cc1)C(F)(F)F"	0
712598	"o1c(C(=O)NC2c3c(c4c2cccc4)cccc3)ccc1"	0
645667	"S(=O)(=O)(Cn1nnnc1CN1CCN(CC1)Cc1cc2OCOc2cc1)c1ccc(cc1)C"	0
650327	"s1c2c(CCC(C2)C)c2c1nc(nc2SCC(=O)Nc1noc(c1)C)C1CC1"	0
645887	"O=C1N(C(=O)C2C1C1CC2C=C1)C(Cc1ccccc1)C(=O)NCc1occc1"	0
3237564	"o1nc(nc1CCc1ccccc1)c1ccc(NC(=O)c2occc2)cc1"	0
2938683	"ClC=1CC2C(CC1)C(=O)N(C2=O)CC(=O)Nc1ccc(cc1)C(O)=O"	0
2201055	"Clc1c(S(=O)(=O)N2CCSCC2)cc(OCC(=O)N)c(c1)C"	0
2676383	"O=c1n(CC(=O)Nc2cc(ccc2)C(OC)=O)cnc2c1cccc2"	0
1159974	"S(=O)(=O)(N1CCN(CC1)c1c(OC)cccc1)c1c2c3c([nH]c(=O)c3ccc2)cc1"	0
976744	"O=C(c1cc(n(c1)C)c1n(c2c(n1)cccc2)C)c1ccccc1"	0
645117	"Fc1ccc(c2n(c(NCc3ccccc3)nc2)C)cc1"	0
2057917	"s1c(C(=O)NC2CCCCCC2)ccc1"	0
2165947	"Fc1c(C(=O)Nc2c(cccc2)C(OCC)=O)c(F)c(F)c(F)c1F"	0
5309347	"Clc1cc(c2oc(c(n2)CN2CCC(CC2)C(=O)N2CCN(CC2)c2ncccc2)C)ccc1"	0
2215647	"O(CCOc1c(cccc1)C(O)=O)CCOc1c(cccc1)C(O)=O"	0
664951	"O1CCN(n2c(c3c(n(c(=O)n(c3=O)C)C)c2)c2ccc(C(C)(C)C)cc2)CC1"	0
659079	"O=C1N(CC(C1)C(=O)NCc1cc2OCOc2cc1)c1ccc(cc1)CC"	0
1332709	"S(=O)(=O)(Nc1cc(ccc1)C)c1c(OC)ccc(c1)C(O)=O"	0
2842764	"O=C(NC=1CC2CC(CC(C2)=C)C1)C"	0
654894	"Clc1ccc(Cn2c(=O)c3c(nc2C)ccc(NC(=O)NCCC(OCC)=O)c3)cc1"	0
665653	"O(c1cc2CCn3c(c2cc1OC)cc(nc3=O)Nc1cc2OCCOc2cc1)C"	0
2100008	"Clc1ccc(c2oc(SCC(OCC(=O)Nc3sc4c(CCC4)c3C(=O)N)=O)nn2)cc1"	0
662709	"S(c1n(c(nn1)c1occc1)C)CC(=O)Nc1c(c2ccccc2)cccc1"	0
651900	"s1c2c(n(c(c2)C(OC(C(=O)NCC2OCCC2)CC)=O)C)cc1"	0
2194008	"S(=O)(=O)(NCC=C)c1ccc(OCC(OCC)=O)cc1"	0
1034422	"Clc1ccc(S(=O)(=O)c2c(n(CCN3CCOCC3)c3nc4n(c(=O)c3c2)cccc4)=N)cc1"	0
667366	"Clc1cc2c(CCNC(=O)NCC)c[nH]c2cc1"	0
3241077	"S(=O)(=O)(N1CCC2(OCCO2)CC1)N1CCC(CC1)C(=O)NCCc1ccccc1"	0
2956722	"O=C(NC(c1ccncc1)C)Nc1cc(ccc1)C(=O)C"	0
649298	"O1c2c(OC1)ccc(c2)C(=O)Nc1cc(NC(=O)CCC)ccc1"	0
2571578	"S(=O)(=O)(NCCC(OCCN1C(=O)c2c(C1=O)cccc2)=O)c1ccc(NC(=O)C)cc1"	0
1121511	"S(=O)(=O)(N(c1ccc(cc1)C)CC(O)=O)c1ccc(OC)cc1"	0
1252551	"S(c1n(c(nn1)Cc1ccc(OC)cc1)CC=C)Cc1[nH]c2c(c(=O)n1)cccc2"	0
4399554	"S(=O)(=O)(N1CCN(C1)C(=O)CSc1[nH]c(CCC)cc(=O)n1)c1ccc(cc1)C"	0
